State Code,State Name (In English),Type,Classification Source
1,Jammu And Kashmir,UT,Government of India - National Portal of India
2,Himachal Pradesh,STATE,Government of India - National Portal of India
3,Punjab,STATE,Government of India - National Portal of India
4,Chandigarh,UT,Government of India - National Portal of India
5,Uttarakhand,STATE,Government of India - National Portal of India
6,Haryana,STATE,Government of India - National Portal of India
7,Delhi,UT,Government of India - National Portal of India
8,Rajasthan,STATE,Government of India - National Portal of India
9,Uttar Pradesh,STATE,Government of India - National Portal of India
10,Bihar,STATE,Government of India - National Portal of India
11,Sikkim,STATE,Government of India - National Portal of India
12,Arunachal Pradesh,STATE,Government of India - National Portal of India
13,Nagaland,STATE,Government of India - National Portal of India
14,Manipur,STATE,Government of India - National Portal of India
15,Mizoram,STATE,Government of India - National Portal of India
16,Tripura,STATE,Government of India - National Portal of India
17,Meghalaya,STATE,Government of India - National Portal of India
18,Assam,STATE,Government of India - National Portal of India
19,West Bengal,STATE,Government of India - National Portal of India
20,Jharkhand,STATE,Government of India - National Portal of India
21,Odisha,STATE,Government of India - National Portal of India
22,Chhattisgarh,STATE,Government of India - National Portal of India
23,Madhya Pradesh,STATE,Government of India - National Portal of India
24,Gujarat,STATE,Government of India - National Portal of India
27,Maharashtra,STATE,Government of India - National Portal of India
28,Andhra Pradesh,STATE,Government of India - National Portal of India
29,Karnataka,STATE,Government of India - National Portal of India
30,Goa,STATE,Government of India - National Portal of India
31,Lakshadweep,UT,Government of India - National Portal of India
32,Kerala,STATE,Government of India - National Portal of India
33,Tamil Nadu,STATE,Government of India - National Portal of India
34,Puducherry,UT,Government of India - National Portal of India
35,Andaman And Nicobar Islands,UT,Government of India - National Portal of India
36,Telangana,STATE,Government of India - National Portal of India
37,Ladakh,UT,Government of India - National Portal of India
38,The Dadra And Nagar Haveli And Daman And Diu,UT,Government of India - National Portal of India
